username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
joysenguptaTOI;2017-11-11 16:37;0;0;"@TOIPune Pune customs recover gold biscuits worth almost Rs 20 lakhs from Pune-Dubai SpiceJet flight . Biscuits were hidden underneath a seat.";;@TOIPune;;"929304571708456960";https://twitter.com/joysenguptaTOI/status/929304571708456960
FlightSafe;2017-11-11 16:05;0;0;"SpiceJet plane suffers tailstrike at Delhi #airport - The New @ietweet : http:// fat.ly/4aSCQ";;@ietweet;#airport;"929296526295183361";https://twitter.com/FlightSafe/status/929296526295183361
Siddique244;2017-11-11 15:32;0;0;"@flyspicejet Can I carry honor 13000 mAh power bank in hand baggage in SpiceJet B737 800 flight to Delhi from Hyderabad?";;@flyspicejet;;"929288126589059072";https://twitter.com/Siddique244/status/929288126589059072
FlightSafe;2017-11-11 15:04;1;0;"SpiceJet plane suffers tailstrike at Delhi #airport - Kashmir Reader : http:// fat.ly/4QQ2T";;;#airport;"929281196499988480";https://twitter.com/FlightSafe/status/929281196499988480
flyspicejet;2017-11-11 13:28;0;0;"Hi Munish, you may refer http://www. spicejet.com for flight details.";;;;"929256906102792192";https://twitter.com/flyspicejet/status/929256906102792192
reema_sathe;2017-11-11 13:14;2;1;"Tried @sattviko paan raisin on spicejet flight . Really good. Well done guys pic.twitter.com/CAdKssjvUp";;@sattviko;;"929253526114525190";https://twitter.com/reema_sathe/status/929253526114525190
thaimythbuster;2017-11-11 12:22;0;0;"Budget carrier SpiceJet on Thursday said that it would commence a daily direct flight on the Ahmedabad-Bangkok route from December 7, 2017.";;;;"929240523616997376";https://twitter.com/thaimythbuster/status/929240523616997376
BrijGopalJoshi;2017-11-11 10:56;0;0;"There was no direct flight from Ahmadabad to Bangkok, but now #SpiceJet to start direct flight from Dec 7 Some #CreditToRahulGandhi is surely due. pic.twitter.com/d42XtYJTYb";;;#SpiceJet #CreditToRahulGandhi;"929218835516764162";https://twitter.com/BrijGopalJoshi/status/929218835516764162
180thai;2017-11-11 08:38;0;0;"SpiceJet to start daily Ahmedabad-Bangkok flight from 7 December - http://www. livemint.com/Companies/MbHy 2bBdw16cNMS8Eod0XO/SpiceJet-to-start-daily-AhmedabadBangkok-flight-from-7-Dece.html …";;;;"929183979567067136";https://twitter.com/180thai/status/929183979567067136
flyspicejet;2017-11-11 02:42;0;0;"Thank you for your words, Arun. We'll surely share this with our team. We hope you had a comfortable flight .";;;;"929094343788396544";https://twitter.com/flyspicejet/status/929094343788396544
YazdJBilimoria;2017-11-10 21:59;0;0;"SpiceJet to start daily Ahmedabad-Bangkok flight from 7 December http:// fb.me/6TZdotJuu";;;;"929023283110010882";https://twitter.com/YazdJBilimoria/status/929023283110010882
flyspicejet;2017-11-10 21:46;0;0;"Hi Sachin, as of now we do not operate from Bhopal and the above flight details does not belongs to us.";;;;"929019905952825344";https://twitter.com/flyspicejet/status/929019905952825344
flyspicejet;2017-11-10 21:31;0;0;"Apologies for the trouble. Your flight is affected due to bad weather at the destination. The flight is waiting for the clearance. Please connect with the crew on-board for assistance.";;;;"929016159621353474";https://twitter.com/flyspicejet/status/929016159621353474
